,BASP 코드,4단계,4단계명,근거(기본형→단계),근거(F→단계),근거(V→단계),한줄요약,권장 플로우
143,C3F3V3,3,심화,C3→3,F3→3,V3→3,중앙부 후퇴 (C3) + 상부 전반 확산 (F3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
144,U1,2,중기,U1→2,,,말굽형 전반 후퇴 (U1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
148,U1F1,2,중기,U1→2,F1→1,,말굽형 전반 후퇴 (U1) + 상부 전반 확산 (F1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
152,U1F2,2,중기,U1→2,F2→2,,말굽형 전반 후퇴 (U1) + 상부 전반 확산 (F2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
156,U1F3,3,심화,U1→2,F3→3,,말굽형 전반 후퇴 (U1) + 상부 전반 확산 (F3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
145,U1V1,2,중기,U1→2,,V1→1,말굽형 전반 후퇴 (U1) + 정수리 희박 (V1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
146,U1V2,2,중기,U1→2,,V2→2,말굽형 전반 후퇴 (U1) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
147,U1V3,3,심화,U1→2,,V3→3,말굽형 전반 후퇴 (U1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
149,U1F1V1,2,중기,U1→2,F1→1,V1→1,말굽형 전반 후퇴 (U1) + 상부 전반 확산 (F1) + 정수리 희박 (V1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
150,U1F1V2,2,중기,U1→2,F1→1,V2→2,말굽형 전반 후퇴 (U1) + 상부 전반 확산 (F1) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
151,U1F1V3,3,심화,U1→2,F1→1,V3→3,말굽형 전반 후퇴 (U1) + 상부 전반 확산 (F1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
153,U1F2V1,2,중기,U1→2,F2→2,V1→1,말굽형 전반 후퇴 (U1) + 상부 전반 확산 (F2) + 정수리 희박 (V1),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
154,U1F2V2,2,중기,U1→2,F2→2,V2→2,말굽형 전반 후퇴 (U1) + 상부 전반 확산 (F2) + 정수리 희박 (V2),경과관리 강화: 2~4주 간격 기록 + 상담 검토(진단 아님)
155,U1F2V3,3,심화,U1→2,F2→2,V3→3,말굽형 전반 후퇴 (U1) + 상부 전반 확산 (F2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
157,U1F3V1,3,심화,U1→2,F3→3,V1→1,말굽형 전반 후퇴 (U1) + 상부 전반 확산 (F3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
158,U1F3V2,3,심화,U1→2,F3→3,V2→2,말굽형 전반 후퇴 (U1) + 상부 전반 확산 (F3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
159,U1F3V3,3,심화,U1→2,F3→3,V3→3,말굽형 전반 후퇴 (U1) + 상부 전반 확산 (F3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
160,U2,3,심화,U2→3,,,말굽형 전반 후퇴 (U2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
164,U2F1,3,심화,U2→3,F1→1,,말굽형 전반 후퇴 (U2) + 상부 전반 확산 (F1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
168,U2F2,3,심화,U2→3,F2→2,,말굽형 전반 후퇴 (U2) + 상부 전반 확산 (F2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
172,U2F3,3,심화,U2→3,F3→3,,말굽형 전반 후퇴 (U2) + 상부 전반 확산 (F3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
161,U2V1,3,심화,U2→3,,V1→1,말굽형 전반 후퇴 (U2) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
162,U2V2,3,심화,U2→3,,V2→2,말굽형 전반 후퇴 (U2) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
163,U2V3,3,심화,U2→3,,V3→3,말굽형 전반 후퇴 (U2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
165,U2F1V1,3,심화,U2→3,F1→1,V1→1,말굽형 전반 후퇴 (U2) + 상부 전반 확산 (F1) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
166,U2F1V2,3,심화,U2→3,F1→1,V2→2,말굽형 전반 후퇴 (U2) + 상부 전반 확산 (F1) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
167,U2F1V3,3,심화,U2→3,F1→1,V3→3,말굽형 전반 후퇴 (U2) + 상부 전반 확산 (F1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
169,U2F2V1,3,심화,U2→3,F2→2,V1→1,말굽형 전반 후퇴 (U2) + 상부 전반 확산 (F2) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
170,U2F2V2,3,심화,U2→3,F2→2,V2→2,말굽형 전반 후퇴 (U2) + 상부 전반 확산 (F2) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
171,U2F2V3,3,심화,U2→3,F2→2,V3→3,말굽형 전반 후퇴 (U2) + 상부 전반 확산 (F2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
173,U2F3V1,3,심화,U2→3,F3→3,V1→1,말굽형 전반 후퇴 (U2) + 상부 전반 확산 (F3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
174,U2F3V2,3,심화,U2→3,F3→3,V2→2,말굽형 전반 후퇴 (U2) + 상부 전반 확산 (F3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
175,U2F3V3,3,심화,U2→3,F3→3,V3→3,말굽형 전반 후퇴 (U2) + 상부 전반 확산 (F3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
176,U3,3,심화,U3→3,,,말굽형 전반 후퇴 (U3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
180,U3F1,3,심화,U3→3,F1→1,,말굽형 전반 후퇴 (U3) + 상부 전반 확산 (F1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
184,U3F2,3,심화,U3→3,F2→2,,말굽형 전반 후퇴 (U3) + 상부 전반 확산 (F2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
188,U3F3,3,심화,U3→3,F3→3,,말굽형 전반 후퇴 (U3) + 상부 전반 확산 (F3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
177,U3V1,3,심화,U3→3,,V1→1,말굽형 전반 후퇴 (U3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
178,U3V2,3,심화,U3→3,,V2→2,말굽형 전반 후퇴 (U3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
179,U3V3,3,심화,U3→3,,V3→3,말굽형 전반 후퇴 (U3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
181,U3F1V1,3,심화,U3→3,F1→1,V1→1,말굽형 전반 후퇴 (U3) + 상부 전반 확산 (F1) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
182,U3F1V2,3,심화,U3→3,F1→1,V2→2,말굽형 전반 후퇴 (U3) + 상부 전반 확산 (F1) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
183,U3F1V3,3,심화,U3→3,F1→1,V3→3,말굽형 전반 후퇴 (U3) + 상부 전반 확산 (F1) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
185,U3F2V1,3,심화,U3→3,F2→2,V1→1,말굽형 전반 후퇴 (U3) + 상부 전반 확산 (F2) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
186,U3F2V2,3,심화,U3→3,F2→2,V2→2,말굽형 전반 후퇴 (U3) + 상부 전반 확산 (F2) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
187,U3F2V3,3,심화,U3→3,F2→2,V3→3,말굽형 전반 후퇴 (U3) + 상부 전반 확산 (F2) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
189,U3F3V1,3,심화,U3→3,F3→3,V1→1,말굽형 전반 후퇴 (U3) + 상부 전반 확산 (F3) + 정수리 희박 (V1),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
190,U3F3V2,3,심화,U3→3,F3→3,V2→2,말굽형 전반 후퇴 (U3) + 상부 전반 확산 (F3) + 정수리 희박 (V2),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
191,U3F3V3,3,심화,U3→3,F3→3,V3→3,말굽형 전반 후퇴 (U3) + 상부 전반 확산 (F3) + 정수리 희박 (V3),집중 관리: 2주 이하 간격 기록 + 전문가 상담 권유(진단 아님)
