image_path,filename,true_stage,pred_stage,probs,preprocessing_method,viewpoint
C:\Users\301\Desktop\classification_test\level_6\15-Front_jpg.rf.7419e05e1b0ee097c4a9536b83b9d515.jpg,15-Front_jpg.rf.7419e05e1b0ee097c4a9536b83b9d515.jpg,6,2,"[0.32205756208619857, 0.0, 0.19343060709548654, 0.31847213978492106, 0.16603969103339378, 0.0]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_6\15-Front_jpg.rf.9e3f471168ba74e36ad1915902aabb79.jpg,15-Front_jpg.rf.9e3f471168ba74e36ad1915902aabb79.jpg,6,5,"[0.24380934492163692, 0.19565821741296754, 0.09047827310552707, 0.2633385919577759, 0.047511746548034535, 0.15920382605405803]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_6\15-Front_jpg.rf.aed90f989d1e46c98f0be6d70256cba9.jpg,15-Front_jpg.rf.aed90f989d1e46c98f0be6d70256cba9.jpg,6,6,"[0.13693612229770305, 0.0, 0.26533558207854147, 0.23200034913018777, 0.3169903321344094, 0.04873761435915831]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_6\16-Left_jpg.rf.2bf885d2a121a8c3aa5f90bc68112c78.jpg,16-Left_jpg.rf.2bf885d2a121a8c3aa5f90bc68112c78.jpg,6,6,"[0.0, 0.13717365269411397, 0.04827341127730483, 0.1999803832339259, 0.538816409839925, 0.0757561429547303]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_6\16-Left_jpg.rf.822c3034409e63a999df99f7d1dbcf29.jpg,16-Left_jpg.rf.822c3034409e63a999df99f7d1dbcf29.jpg,6,6,"[0.04598762870171302, 0.09177916293215731, 0.10054203464788052, 0.13213588042701674, 0.5605655716449502, 0.06898972164628227]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_6\16-Left_jpg.rf.d4d027c8d5a7175e385cffc7b9e7f115.jpg,16-Left_jpg.rf.d4d027c8d5a7175e385cffc7b9e7f115.jpg,6,6,"[0.09004282005534422, 0.047879631022012356, 0.1829270324424385, 0.14033416980616842, 0.33396662396575694, 0.20484972270827945]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_6\18-Top-Down_jpg.rf.29ac333246b3d89a0e31eddcb4b6abf3.jpg,18-Top-Down_jpg.rf.29ac333246b3d89a0e31eddcb4b6abf3.jpg,6,6,"[0.0, 0.0, 0.0, 0.12295547854068259, 0.5185003741732128, 0.3585441472861045]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_6\18-Top-Down_jpg.rf.4b492d220f19edb0446c77912fbecf35.jpg,18-Top-Down_jpg.rf.4b492d220f19edb0446c77912fbecf35.jpg,6,6,"[0.15118323451959567, 0.04766493320777738, 0.0, 0.05088676101189173, 0.4493191227637974, 0.30094594849693784]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_6\18-Top-Down_jpg.rf.c6577990952636c5efdabefbe03968e2.jpg,18-Top-Down_jpg.rf.c6577990952636c5efdabefbe03968e2.jpg,6,6,"[0.0, 0.0, 0.04356413239386362, 0.1540334165347943, 0.5086450597672773, 0.29375739130406475]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_6\19-Top-Down_jpg.rf.3378439291d01c5537dc627f08d024f1.jpg,19-Top-Down_jpg.rf.3378439291d01c5537dc627f08d024f1.jpg,6,3,"[0.0, 0.5437624370075743, 0.0, 0.0, 0.0, 0.4562375629924256]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_6\19-Top-Down_jpg.rf.dc81ed490150745dfcfc96187177bfe1.jpg,19-Top-Down_jpg.rf.dc81ed490150745dfcfc96187177bfe1.jpg,6,7,"[0.0, 0.0, 0.1612340522900397, 0.04782942629190723, 0.19649638361042127, 0.5944401378076318]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_6\2-Front_jpg.rf.31d4019ae5cfe9936e69fb3a594ec6b9.jpg,2-Front_jpg.rf.31d4019ae5cfe9936e69fb3a594ec6b9.jpg,6,7,"[0.10979920065234833, 0.30757606063585885, 0.0, 0.0, 0.0, 0.5826247387117929]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_6\2-Front_jpg.rf.35a1daac3f54ab52a84b6a45e7845bd1.jpg,2-Front_jpg.rf.35a1daac3f54ab52a84b6a45e7845bd1.jpg,6,7,"[0.0, 0.3538192491580357, 0.0, 0.049837242766500894, 0.0919986814920679, 0.5043448265833955]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_6\2-Front_jpg.rf.4d90ec348ee41e091beddd2fd8a8545d.jpg,2-Front_jpg.rf.4d90ec348ee41e091beddd2fd8a8545d.jpg,6,3,"[0.0, 0.42084144784309974, 0.04942762061973544, 0.0, 0.13127215966755118, 0.3984587718696136]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_6\5-Left_jpg.rf.6c3fdd47d53b4dace72d78b20c5a68d9.jpg,5-Left_jpg.rf.6c3fdd47d53b4dace72d78b20c5a68d9.jpg,6,2,"[0.36080196406067705, 0.0, 0.21985742518736753, 0.0407207565405722, 0.2753913718217117, 0.10322848238967158]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_6\5-Left_jpg.rf.86c135046f9265cffd4f4d15e970b15a.jpg,5-Left_jpg.rf.86c135046f9265cffd4f4d15e970b15a.jpg,6,6,"[0.0395003661805331, 0.04431042584739473, 0.09237568284471356, 0.1713595557174562, 0.6095229656259956, 0.04293100378390665]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_6\5-Left_jpg.rf.e6f4ad09c977efe9539e9771e201e345.jpg,5-Left_jpg.rf.e6f4ad09c977efe9539e9771e201e345.jpg,6,4,"[0.049309859688131515, 0.14867311232845207, 0.3497198852303041, 0.2106010763804451, 0.14396220009449914, 0.09773386627816792]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_7\15-Left_jpg.rf.0b4bbb57f90e676bea5530cfba3f4146.jpg,15-Left_jpg.rf.0b4bbb57f90e676bea5530cfba3f4146.jpg,7,7,"[0.0, 0.08609427438472775, 0.18204763370216626, 0.05396627542509375, 0.18869801777782497, 0.4891937987101873]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_7\15-Left_jpg.rf.2215c0cef818a7c01d98c2a37a74d346.jpg,15-Left_jpg.rf.2215c0cef818a7c01d98c2a37a74d346.jpg,7,7,"[0.0, 0.0, 0.0, 0.0, 0.23016517344798193, 0.7698348265520182]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_7\15-Left_jpg.rf.8e1e9bfe10f153b7d5b7a13b5732e673.jpg,15-Left_jpg.rf.8e1e9bfe10f153b7d5b7a13b5732e673.jpg,7,7,"[0.0, 0.047985686190476835, 0.05024202101691007, 0.039594573957989376, 0.1541438052476995, 0.7080339135869242]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_7\16-Top-Down_jpg.rf.28c109f61048165329897ff8e9cee266.jpg,16-Top-Down_jpg.rf.28c109f61048165329897ff8e9cee266.jpg,7,7,"[0.0, 0.0, 0.10028956428765422, 0.0, 0.32889999281280086, 0.570810442899545]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_7\16-Top-Down_jpg.rf.2b0f4ff7ee9b8db3296cf095958a1cc0.jpg,16-Top-Down_jpg.rf.2b0f4ff7ee9b8db3296cf095958a1cc0.jpg,7,7,"[0.0, 0.24957387229598088, 0.05344752310481628, 0.0, 0.09778869450024977, 0.5991899100989531]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_7\16-Top-Down_jpg.rf.4f16652706f19bbb0429722fa0bb3464.jpg,16-Top-Down_jpg.rf.4f16652706f19bbb0429722fa0bb3464.jpg,7,7,"[0.0, 0.0, 0.07597523206161162, 0.14718236557400974, 0.2706680000621612, 0.5061744023022174]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_7\17-Right_jpg.rf.845742f077d66719bb856bc2dcb04c4a.jpg,17-Right_jpg.rf.845742f077d66719bb856bc2dcb04c4a.jpg,7,6,"[0.0, 0.1474446505882999, 0.0, 0.27014292182611227, 0.5090629623285129, 0.07334946525707484]",preprocessing_only,right
C:\Users\301\Desktop\classification_test\level_7\17-Right_jpg.rf.b996a5b38944a1c3cd53d24d77005fe2.jpg,17-Right_jpg.rf.b996a5b38944a1c3cd53d24d77005fe2.jpg,7,6,"[0.0, 0.1456533245339847, 0.08469861474369449, 0.12213040269281075, 0.48643140385900707, 0.16108625417050293]",preprocessing_only,right
C:\Users\301\Desktop\classification_test\level_7\2-Left_jpg.rf.52c422a59c8cd3ab43d09f5f2bfa1168.jpg,2-Left_jpg.rf.52c422a59c8cd3ab43d09f5f2bfa1168.jpg,7,7,"[0.0, 0.09334819268131406, 0.0, 0.1530439152923245, 0.35153741220782686, 0.40207047981853455]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_7\2-Left_jpg.rf.9700d1e1d22486b69df30cfdbd7ca19e.jpg,2-Left_jpg.rf.9700d1e1d22486b69df30cfdbd7ca19e.jpg,7,7,"[0.15504073671412158, 0.10042752243577113, 0.0, 0.1558250174052064, 0.24070960966306015, 0.34799711378184073]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_7\2-Left_jpg.rf.a076e6c4f6c377855088653a97ea859f.jpg,2-Left_jpg.rf.a076e6c4f6c377855088653a97ea859f.jpg,7,7,"[0.09563016617520656, 0.05478344801541326, 0.045948193168523985, 0.04683210905356876, 0.10305984291822301, 0.6537462406690645]",preprocessing_only,left
C:\Users\301\Desktop\classification_test\level_7\4-Front_jpg.rf.9231a3b9adb03d54d2d66032c995a255.jpg,4-Front_jpg.rf.9231a3b9adb03d54d2d66032c995a255.jpg,7,7,"[0.26138208996490375, 0.04546308958355544, 0.0, 0.23620749292012347, 0.11034274956772036, 0.3466045779636969]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_7\4-Front_jpg.rf.a885b5c6a5b5ad3f9c96a7cf421d398c.jpg,4-Front_jpg.rf.a885b5c6a5b5ad3f9c96a7cf421d398c.jpg,7,2,"[0.39206314114388846, 0.09414710658256856, 0.043837847202617866, 0.15611690572656733, 0.12159846121568704, 0.19223653812867084]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_7\4-Front_jpg.rf.e83a1aac35a377ac637479f10cc0c84a.jpg,4-Front_jpg.rf.e83a1aac35a377ac637479f10cc0c84a.jpg,7,6,"[0.0427465158716874, 0.042720437930242446, 0.0, 0.050644059718643934, 0.44812427130821725, 0.4157647151712089]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_7\4-Top-Down_jpg.rf.73b984803245d66549bdbcac8be9c8fa.jpg,4-Top-Down_jpg.rf.73b984803245d66549bdbcac8be9c8fa.jpg,7,7,"[0.0, 0.15167916432738393, 0.1486674643346999, 0.0, 0.050584136422042875, 0.6490692349158734]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_7\4-Top-Down_jpg.rf.768be95b49ec2a0ed0e7aabbc9296166.jpg,4-Top-Down_jpg.rf.768be95b49ec2a0ed0e7aabbc9296166.jpg,7,3,"[0.16250024680341596, 0.3442136844235166, 0.19417689935707455, 0.0, 0.0, 0.29910916941599297]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_7\4-Top-Down_jpg.rf.db98bb62f24bc5f2f6e4044f63456ec2.jpg,4-Top-Down_jpg.rf.db98bb62f24bc5f2f6e4044f63456ec2.jpg,7,7,"[0.0, 0.0, 0.1473532277665666, 0.05117839434456892, 0.04427370935355977, 0.7571946685353047]",preprocessing_only,top-down
C:\Users\301\Desktop\classification_test\level_7\5-Back_jpg.rf.5b1157b45cb542eb4337e696ea5431b4.jpg,5-Back_jpg.rf.5b1157b45cb542eb4337e696ea5431b4.jpg,7,7,"[0.04477951220915204, 0.04752667044906689, 0.0, 0.1448676677767566, 0.0466888406928286, 0.7161373088721958]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_7\5-Back_jpg.rf.c4b4aa12941587971c71ce5b5f8a6601.jpg,5-Back_jpg.rf.c4b4aa12941587971c71ce5b5f8a6601.jpg,7,7,"[0.133479223821967, 0.0, 0.0, 0.0, 0.3000986051323398, 0.5664221710456931]",preprocessing_only,unknown
C:\Users\301\Desktop\classification_test\level_7\5-Back_jpg.rf.f7958df24dc025f3cdb6e39e3bc5e4bd.jpg,5-Back_jpg.rf.f7958df24dc025f3cdb6e39e3bc5e4bd.jpg,7,7,"[0.0, 0.14735973103795827, 0.04877458365362494, 0.09618967017497254, 0.24606281751362866, 0.4616131976198156]",preprocessing_only,unknown
